Open,High,Low,Close,Adj Close,Volume,MA_1,MA_2,MA_3,MA_4,MA_5,RSI1,RSI1MAL,RSI1MAH,RSI2,RSI2MAL,RSI2MAH,RSI3,RSI3MAL,RSI3MAH,Compare_Close,CRS,CRSMAL,CRSMAH,Sto_main,Sto_signal,MACD,MACD_signal
203.1999969,203.5500031,197.9499969,202.1600037,201.9457397,31827000,183.999498,168.219599,,,,68.79740629,67.27490972,64.5336537,68.79740629,67.27490972,64.5336537,68.79740629,67.27490972,64.5336537,398.9100037,0.506780983,0.420152517,,78.93001211,83.31975265,9.527819764,8.721087505
202.5,207.3699951,199.6699982,199.8099976,199.5982208,28477800,185.4339981,169.6263989,,,,65.88286702,67.59646338,64.42088311,65.88286702,67.59646338,64.42088311,65.88286702,67.59646338,64.42088311,392.1099854,0.509576407,0.423667924,,81.04339553,80.5483446,9.454784694,8.867826943
202.8399963,207.8800049,202.1499939,204.2799988,204.0634918,27389700,187.0459984,171.0521988,,,,68.60714832,68.59433334,64.52179958,68.60714832,68.59433334,64.52179958,68.60714832,68.59433334,64.52179958,393.1700134,0.519571666,0.427249484,,85.1328177,81.70207511,9.646397946,9.023541143
205.1799927,207.5800018,203.5500031,206.0099945,205.7916412,27716400,188.8269981,172.5145987,,,,69.61829381,69.54592872,64.86684557,69.61829381,69.54592872,64.86684557,69.61829381,69.54592872,64.86684557,395.75,0.520555893,0.430940841,,86.74282225,84.30634516,9.824597184,9.183752352
204.8099976,205.8600006,201.3600006,202.8399963,202.6250153,18527200,190.4919983,173.8371985,,,,65.45781736,68.89110437,65.03349513,65.45781736,68.89110437,65.03349513,65.45781736,68.89110437,65.03349513,396.4899902,0.511589199,0.434284777,,89.40307945,87.09290647,9.599373404,9.266876562
200.1499939,201.0299988,197.8999939,200.6799927,200.4673004,19127300,191.7789978,175.1111984,,,,62.70788504,67.69234843,65.12645122,62.70788504,67.69234843,65.12645122,62.70788504,67.69234843,65.12645122,395.6000061,0.507280055,0.437555598,,85.77330896,87.30640355,9.141213473,9.241743944
203.5599976,205.7200012,202.5399933,205.3500061,205.1323547,18851100,193.3754982,176.5109985,,,,66.03062509,66.46705726,65.39767017,66.03062509,66.46705726,65.39767017,66.03062509,66.46705726,65.39767017,401.3500061,0.511648195,0.440982618,,85.10786386,86.76141743,9.050619573,9.20351907
203.3800049,208.0899963,202.8200073,207.8399963,207.6197052,22608300,195.0409981,178.0073984,,,,67.68396308,66.7795064,65.70403599,67.68396308,66.7795064,65.70403599,67.68396308,66.7795064,65.70403599,403.7000122,0.514837726,0.444483796,,89.93906656,86.94007979,9.075132182,9.177841693
207.2400055,212.1699982,206.7700043,211.9400024,211.7153625,25440300,196.3754982,179.5231985,,,,70.25146739,67.22638593,66.19813726,70.25146739,67.22638593,66.19813726,70.25146739,67.22638593,66.19813726,409.3900146,0.517697049,0.447831254,,96.89925087,90.6487271,9.317982922,9.205869938
208.8399963,213.4900055,208.1999969,213.0700073,212.8441772,17924600,197.7839989,180.9971988,,,,70.93682408,67.46409902,66.76428134,70.93682408,67.46409902,66.76428134,70.93682408,67.46409902,66.76428134,410.9500122,0.51848157,0.451159863,,98.83206875,95.22346206,9.492205596,9.26313707
